time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010452150000	13.5086	10.5282	0	0	0	radar	6.95323e-310	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	13.4237	10.6265	0	0	0	lidar	1.39612e-309	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	13.4237	10.6265	0	0	0	radar	6.95323e-310	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	13.3349	10.7213	0	0	0	lidar	1.39612e-309	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	13.3349	10.7213	0	0	0	radar	6.95323e-310	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	13.2451	10.8091	0	0	0	lidar	1.39612e-309	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	13.2451	10.8091	0	0	0	radar	6.95323e-310	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	13.1528	10.8936	0	0	0	lidar	1.39612e-309	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	13.1528	10.8936	0	0	0	radar	6.95323e-310	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	13.0602	10.9726	0	0	0	lidar	1.39612e-309	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452650000	13.0602	10.9726	0	0	0	radar	6.95323e-310	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644
1477010452700000	12.9612	11.0468	0	0	0	lidar	1.39612e-309	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452750000	12.9612	11.0468	0	0	0	radar	6.95323e-310	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627
1477010452800000	12.8609	11.1151	0	0	0	lidar	1.39612e-309	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
1477010452850000	12.8609	11.1151	0	0	0	radar	6.95323e-310	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844
1477010452900000	12.7607	11.1828	0	0	0	lidar	1.39612e-309	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167
1477010452950000	12.7607	11.1828	0	0	0	radar	6.95323e-310	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302
1477010453000000	12.6587	11.2418	0	0	0	lidar	1.39612e-309	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251
1477010453050000	12.6587	11.2418	0	0	0	radar	6.95323e-310	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014
1477010453100000	12.5557	11.2972	0	0	0	lidar	1.39612e-309	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595
1477010453150000	12.5557	11.2972	0	0	0	radar	6.95323e-310	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995
1477010453200000	12.4512	11.3443	0	0	0	lidar	1.39612e-309	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216
1477010453250000	12.4512	11.3443	0	0	0	radar	6.95323e-310	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261
1477010453300000	12.3443	11.3903	0	0	0	lidar	1.39612e-309	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132
1477010453350000	12.3443	11.3903	0	0	0	radar	6.95323e-310	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832
